Ahwatukee,840
McMurray,1086
Phoenix,576709
Tempe,162772
Cuyahoga Falls,5003
Stuttgart,25537
Las Vegas,1604173
Wexford,3442
Henderson,166884
Houston,80
Chandler,122343
Markham,38840
Homestead,2996
Charlotte,237115
Toronto,430923
Peoria,42581
Sun Prairie,3273
Goodyear,21508
Richmond Hill,18329
Mesa,130883
Mississauga,43147
Elyria,1487
Fort Mill,8340
Montreal,5665
Munroe Falls,203
Pineville,5484
Scottsdale,308529
Lakewood,14687
Davidson,2594
Cave Creek,9959
Frazer,767
Madison,86614
Montréal,122620
Urbana,7642
Pittsburgh,179471
Surprise,25740
Cornelius,6892
Edinburgh,48838
Chesterland,902
Glendale,76293
Mentor,5169
Cleveland,92280
Solon,3251
Concord,13658
Coraopolis,2566
Cleveland Heights,6935
Oakdale,315
Gilbert,97204
Dorval,1183
Newmarket,3200
North Olmsted,5282
Willoughby,3243
Champaign,26260
Kent,4189
Gastonia,5406
Fitchburg,3622
Matthews,11630
Mirabel,33
Rocky River,5506
North York,16265
Boulder City,8413
Vaughan,11947
North Las Vegas,37928
Tega Cay,638
Scarborough,15325
Westlake,6854
Anthem,1289
Laval,2765
MESA,3229
Mint Hill,1086
Dunfermline,173
Etna,129
Bethel Park,1996
Laveen,2325
Fountain Hills,5480
Willoughby Hills,540
Bay Village,495
Verdun,1536
Mentor-on-the-Lake,191
Ajax,2488
Fellbach,730
Mount Holly,517
Oakville,7307
Avondale,16622
Huntersville,11742
Savoy,878
Sun City,2658
East York,1565
Lasalle,476
Filderstadt,454
Brunswick,1580
Palmerston,3
Chester,717
Robinson Township,444
Leonberg,305
Sainte-Julie,60
San Tan Valley,996
Canonsburg,1847
Pickering,2864
West Mifflin,1363
Hudson,3116
Litchfield Park,5301
Rantoul,336
Kannapolis,1333
El Mirage,1298
Scottdale,544
Fairlawn,2160
Île des Soeurs,42
Thornhill,6858
Saint-Hubert,100
Boucherville,149
Macedonia,1235
Berea,1835
Paradise Valley,4166
